|  time  |reset|ARegister|DRegister|RAM16K[16]|RAM16K[17]|RAM16K[18]|RAM16K[19]|
| 0      |  0  |       0 |       0 |      10  |      10  |      15  |       0  |
| 1      |  0  |      16 |       0 |      10  |      10  |      15  |       0  |
| 2      |  0  |      16 |      10 |      10  |      10  |      15  |       0  |
| 3      |  0  |      17 |      10 |      10  |      10  |      15  |       0  |
| 4      |  0  |      17 |      20 |      10  |      10  |      15  |       0  |
| 5      |  0  |      18 |      20 |      10  |      10  |      15  |       0  |
| 6      |  0  |      18 |       5 |      10  |      10  |      15  |       0  |
| 7      |  0  |      19 |       5 |      10  |      10  |      15  |       0  |
| 8      |  0  |      19 |       5 |      10  |      10  |      15  |       5  |
| 9      |  0  |       0 |       5 |      10  |      10  |      15  |       5  |
| 10     |  0  |       0 |       5 |      10  |      10  |      15  |       5  |
| 11     |  0  |       0 |       5 |      10  |      10  |      15  |       5  |
| 12     |  0  |       0 |       5 |      10  |      10  |      15  |       5  |
| 13     |  0  |       0 |       5 |      10  |      10  |      15  |       5  |
| 14     |  0  |       0 |       5 |      10  |      10  |      15  |       5  |
