|  time  |reset|ARegister|DRegister|RAM16K[16]|RAM16K[17]|RAM16K[18]|
| 0      |  0  |       0 |       0 |      19  |      10  |       0  |
| 1      |  0  |      16 |       0 |      19  |      10  |       0  |
| 2      |  0  |      16 |      19 |      19  |      10  |       0  |
| 3      |  0  |      17 |      19 |      19  |      10  |       0  |
| 4      |  0  |      17 |       9 |      19  |      10  |       0  |
| 5      |  0  |      10 |       9 |      19  |      10  |       0  |
| 6      |  0  |      10 |       9 |      19  |      10  |       0  |
| 7      |  0  |      18 |       9 |      19  |      10  |       0  |
| 8      |  0  |      18 |       9 |      19  |      10  |       9  |
| 9      |  0  |       0 |       9 |      19  |      10  |       9  |
| 10     |  0  |       0 |       9 |      19  |      10  |       9  |
| 11     |  0  |       0 |       9 |      19  |      10  |       9  |
| 12     |  0  |       0 |       9 |      19  |      10  |       9  |
| 13     |  0  |       0 |       9 |      19  |      10  |       9  |
| 14     |  0  |       0 |       9 |      19  |      10  |       9  |
| 15     |  1  |       0 |       9 |      19  |      10  |       9  |
| 15     |  0  |       0 |       9 |       5  |      11  |       9  |
| 16     |  0  |      16 |       9 |       5  |      11  |       9  |
| 17     |  0  |      16 |       5 |       5  |      11  |       9  |
| 18     |  0  |      17 |       5 |       5  |      11  |       9  |
| 19     |  0  |      17 |      -6 |       5  |      11  |       9  |
| 20     |  0  |      10 |      -6 |       5  |      11  |       9  |
| 21     |  0  |      10 |      -6 |       5  |      11  |       9  |
| 22     |  0  |      17 |      -6 |       5  |      11  |       9  |
| 23     |  0  |      17 |      11 |       5  |      11  |       9  |
| 24     |  0  |      16 |      11 |       5  |      11  |       9  |
| 25     |  0  |      16 |       6 |       5  |      11  |       9  |
| 26     |  0  |      18 |       6 |       5  |      11  |       9  |
| 27     |  0  |      18 |       6 |       5  |      11  |       6  |
| 28     |  0  |       0 |       6 |       5  |      11  |       6  |
| 29     |  0  |       0 |       6 |       5  |      11  |       6  |
